policy,metric,value,random_value,delta_vs_random,percent_vs_random
srrip,rnf1_overall_p95_latency_chi_cycles,550.0,558.0,-8.0,-1.4336917562724014
lru,cpu0_guest_cycles,4597700.0,4597700.0,0.0,0.0
lru,cpu1_guest_cycles,4597700.0,4597700.0,0.0,0.0
lru,cpu0_guest_instructions,7383977.0,7331309.0,52668.0,0.7183983105881909
lru,cpu1_guest_instructions,1949785.0,2056895.0,-107110.0,-5.207363526091512
lru,cpu0_memory_stall_cycles,4424.0,5297.0,-873.0,-16.481026996413064
lru,cpu1_memory_stall_cycles,3817314.0,3791349.0,25965.0,0.6848485855562229
lru,cpu0_exec_stall_cycles,4427143.0,4424284.0,2859.0,0.0646206256198743
lru,cpu1_exec_stall_cycles,4569660.0,4567551.0,2109.0,0.046173540262604625
lru,dram_read_bursts,88176.0,87090.0,1086.0,1.2469858766792974
lru,dram_write_bursts,64825.0,64159.0,666.0,1.0380461042098537
lru,noc_internal_output_stall_cycles,0.0,0.0,0.0,0.0
lru,noc_local_injection_stall_cycles,0.0,0.0,0.0,0.0
lru,noc_local_delivery_stall_cycles,1740.0,1789.0,-49.0,-2.7389603130240356
random,cpu0_guest_cycles,4597700.0,4597700.0,0.0,0.0
random,cpu1_guest_cycles,4597700.0,4597700.0,0.0,0.0
random,cpu0_guest_instructions,7331309.0,7331309.0,0.0,0.0
random,cpu1_guest_instructions,2056895.0,2056895.0,0.0,0.0
random,cpu0_memory_stall_cycles,5297.0,5297.0,0.0,0.0
random,cpu1_memory_stall_cycles,3791349.0,3791349.0,0.0,0.0
random,cpu0_exec_stall_cycles,4424284.0,4424284.0,0.0,0.0
random,cpu1_exec_stall_cycles,4567551.0,4567551.0,0.0,0.0
random,dram_read_bursts,87090.0,87090.0,0.0,0.0
random,dram_write_bursts,64159.0,64159.0,0.0,0.0
random,noc_internal_output_stall_cycles,0.0,0.0,0.0,0.0
random,noc_local_injection_stall_cycles,0.0,0.0,0.0,0.0
random,noc_local_delivery_stall_cycles,1789.0,1789.0,0.0,0.0
srrip,cpu0_guest_cycles,4597700.0,4597700.0,0.0,0.0
srrip,cpu1_guest_cycles,4597700.0,4597700.0,0.0,0.0
srrip,cpu0_guest_instructions,7400735.0,7331309.0,69426.0,0.9469795912298882
srrip,cpu1_guest_instructions,1955115.0,2056895.0,-101780.0,-4.948235082490842
srrip,cpu0_memory_stall_cycles,3612.0,5297.0,-1685.0,-31.81045875023598
srrip,cpu1_memory_stall_cycles,3819705.0,3791349.0,28356.0,0.7479132097836416
srrip,cpu0_exec_stall_cycles,4426145.0,4424284.0,1861.0,0.04206330335032742
srrip,cpu1_exec_stall_cycles,4569424.0,4567551.0,1873.0,0.041006657615864604
srrip,dram_read_bursts,88378.0,87090.0,1288.0,1.4789298426914685
srrip,dram_write_bursts,64993.0,64159.0,834.0,1.2998955719384653
srrip,noc_internal_output_stall_cycles,0.0,0.0,0.0,0.0
srrip,noc_local_injection_stall_cycles,0.0,0.0,0.0,0.0
srrip,noc_local_delivery_stall_cycles,1687.0,1789.0,-102.0,-5.701509223029626
