subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
94,4,3,9,3cf88,0,8,3cf1e,0,1,3cf8c,0,0,3cf94,0,0
95,7,7,3,3cf88,0,1,3cf8c,0,1,3cf94,0,1,3cfae,1,0,3cfd6,0,0
96,3,3,2,3cfd6,0,1,3cfe4,0,1,3d034,0,0
97,155,101,43,ebd14,0,5,10d3e6,0,4,f5474,0,3,ebc88,0,3,f5434,0,3
98,55,35,25,4a944,0,6,f3802,0,5,4a8f2,0,4,f3800,0,3,f3a32,0,2
99,76,55,49,f3802,0,5,f3800,0,5,f3a44,0,4,f3a32,0,4,1b0fc,0,3
100,219,140,102,f3802,0,11,f3a26,0,10,f3a2c,0,10,219aa,0,10,1b0b6,0,6
101,531,342,175,f3802,0,14,f3800,0,8,f4b1e,0,8,f3a26,0,8,219aa,0,7
102,498,326,182,f3802,0,18,f4b1e,0,15,f3a26,0,14,f3800,0,8,1cf3a,0,6
103,775,480,248,f3802,0,13,f4b1e,0,12,f3a26,0,11,f3a32,0,7,f3780,0,7
104,547,366,187,f4b1e,0,15,f3802,0,8,f3a26,0,7,1cf50,0,6,f16aa,0,6
105,416,294,151,f3a26,0,22,f3802,0,10,f3800,0,7,f4b1e,0,7,f3a3e,0,6
106,505,346,111,f4b1e,0,15,f3a26,0,10,4375c,0,7,43754,0,5,f493a,0,3
107,421,308,82,f3802,0,7,f3a26,0,7,436e4,0,5,f22be,0,4,f4abc,0,4
108,463,307,50,f3a44,0,4,f3a26,0,4,f3a3e,0,3,f3a38,0,3,28ae2,0,3
109,486,352,50,f3a26,0,6,f22be,0,3,436f0,0,3,303c2,0,2,4375c,0,2
110,441,284,31,28ae2,0,2,2b6e8,0,2,f3a38,0,2,f3780,0,2,a37e0,0,2
111,488,351,21,f3a26,0,3,4375c,0,2,436e4,0,2,f3a44,0,2,437fa,0,1
112,425,284,17,a37e0,0,2,2b6e8,0,2,28aa8,0,2,a37b2,5,1,f37a0,0,1
113,530,362,27,4375c,0,3,4cf22,0,2,f4b50,3,2,436e4,0,2,437fa,0,1
114,401,283,11,28aa8,0,2,f4ba0,0,1,f4abc,0,1,a37b2,5,1,44050,0,1
115,495,339,22,436e4,0,3,2b6e8,0,2,43754,0,2,4375c,0,2,4cf22,0,1
116,417,305,11,43754,0,2,436e4,0,2,436f0,0,1,a37b2,5,1,4375c,0,1
117,474,317,21,28aa8,0,2,2b6e8,0,2,44046,0,2,1cf50,0,1,f37a0,0,1
118,478,339,14,436e4,0,2,f0cc0,0,1,a37b2,5,1,28688,0,1,436f0,0,1
119,449,299,17,28aa8,0,2,a37e0,0,2,2b6e8,0,2,f37c8,0,1,303cc,0,1
120,475,341,10,436e4,0,2,44046,0,1,4cf22,0,1,4bf78,0,1,4bf72,5,1
121,447,295,15,28ae2,0,2,28aa8,0,2,2b6e8,0,2,a37e0,0,2,f3802,0,1
122,517,360,45,f4b1e,0,10,f3a4a,0,4,f3a26,0,3,f3a50,0,2,436e4,0,2
123,435,296,32,f3a26,0,7,f4b1e,0,5,f3a2c,0,3,28aa8,0,2,2b6e8,0,2
124,520,364,33,f3ae4,0,3,4cf22,0,2,2b6e8,0,2,f3a2c,0,2,f3a4a,0,2
125,394,282,16,f3a26,0,4,f22be,0,2,436e4,0,2,28aa8,0,2,18abe,0,1
126,509,348,17,28aa8,0,2,2b6e8,0,2,f4b1e,0,2,f3aea,0,1,4bf72,5,1
127,433,317,8,f4abc,0,1,a37b2,5,1,4375c,0,1,a37e0,0,1,436f0,0,1
128,463,311,20,28aa8,0,2,2b6e8,0,2,f4ba0,0,2,f37c8,0,1,f3a26,0,1
129,500,359,7,f3a38,0,1,a37b2,5,1,436f0,0,1,f3a26,0,1,4bf72,5,1
