subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
85,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
86,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
87,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
88,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
89,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
90,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
91,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
92,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
93,142,86,4,3cd16,0,1,f0446,0,1,ebb76,0,1,f030c,0,1,f02c6,0,0
94,4,3,10,3cf88,0,9,3cf1e,0,1,3cf8c,0,0,3cf94,0,0
95,7,7,3,3cf88,0,1,3cf8c,0,1,3cf94,0,1,3cfae,1,0,3cfd6,0,0
96,3,3,2,3cfd6,0,1,3cfe4,0,1,3d034,0,0
97,155,101,37,ebd14,0,7,ebc88,0,4,f5474,0,3,f5434,0,3,10d3e6,0,2
98,55,35,24,4a944,0,6,f3a32,0,4,4a8f2,0,4,f3802,0,3,219aa,0,2
99,76,55,52,f3a44,0,6,f3800,0,5,1b0a0,0,4,f3802,0,4,1b0fc,0,3
100,219,140,106,f3a26,0,14,219aa,0,11,f3a44,0,8,1b0fc,0,7,f3802,0,7
101,532,343,171,f3802,0,11,f3800,0,9,f4b1e,0,9,f3a26,0,9,f3a4a,0,8
102,497,325,184,f3802,0,17,f4b1e,0,14,f3a26,0,13,f3800,0,8,1cf3a,0,7
103,775,480,245,f4b1e,0,12,f3a26,0,12,f3802,0,11,f3a44,0,7,f3a32,0,6
104,547,366,189,f4b1e,0,14,f3802,0,8,f3a26,0,7,1cf50,0,6,f22be,0,6
105,415,293,144,f3a26,0,19,f3802,0,10,f4b1e,0,8,f3a3e,0,7,f3800,0,7
106,505,346,115,f4b1e,0,16,f3a26,0,9,4375c,0,7,43754,0,5,f3a4a,0,5
107,421,308,91,f3a26,0,8,f3802,0,7,4375c,0,6,f3800,0,4,f4abc,0,4
108,463,307,52,f3a26,0,7,f4b1e,0,4,f3780,0,2,f3a3e,0,2,f3a44,0,2
109,486,352,46,f3a26,0,6,f3800,0,3,f3a4a,0,3,f22be,0,2,f3802,0,2
110,441,284,36,f4abc,0,3,f3a38,0,3,2b6e8,0,2,28ae2,0,2,f3a4a,0,2
111,489,352,33,f3a26,0,4,436e4,0,2,3bf66,0,2,4375c,0,2,43754,0,2
112,425,284,20,f3780,0,2,a37e0,0,2,2b6e8,0,2,28aa8,0,2,28688,0,1
113,529,362,26,f3a26,0,3,4375c,0,2,43754,0,2,436e4,0,2,f3b74,0,1
114,401,283,16,28aa8,0,2,f4ba0,0,2,f3802,0,1,2b6e8,0,1,f3a2c,0,1
115,495,339,24,436e4,0,3,2b6e8,0,2,44046,0,2,4cf22,0,2,43754,0,2
116,417,305,10,436e4,0,2,f4b50,3,1,a37b2,5,1,4375c,0,1,437fa,0,1
117,473,316,19,28aa8,0,2,f4abc,0,2,2b6e8,0,2,f4b50,3,2,4cf22,0,1
118,478,340,15,436e4,0,2,f3a38,0,1,a37b2,5,1,f0e2a,0,1,436f0,0,1
119,450,299,17,a37e0,0,2,2b6e8,0,2,28aa8,0,2,f37a0,0,1,1cf50,0,1
120,471,338,12,4375c,0,2,436e4,0,2,4bf72,5,1,f4b1e,0,1,436f0,0,1
121,448,296,14,28ae2,0,3,2b6e8,0,2,a37e0,0,2,28aa8,0,2,f3802,0,1
122,517,360,40,f4b1e,0,9,f3a26,0,3,f3a4a,0,3,f493a,0,2,f3a50,0,2
123,428,295,34,f3a26,0,6,f4b1e,0,5,f3a2c,0,3,f22be,0,2,28aa8,0,2
124,520,364,34,f3ae4,0,2,f22be,0,2,2b6e8,0,2,f4b1e,0,2,43754,0,2
125,394,282,14,f3a26,0,4,28aa8,0,2,43754,0,2,436e4,0,2,a37e0,0,1
126,509,347,24,f3a2c,0,2,f3a3e,0,2,f3a50,0,2,2b6e8,0,2,4cf22,0,2
127,433,317,12,303c2,0,2,f3a26,0,2,44046,0,2,f4abc,0,1,a37b2,5,1
128,463,311,15,f3a26,0,2,28aa8,0,2,f4ba0,0,2,2b6e8,0,2,f3afc,0,1
129,495,356,5,a37b2,5,1,4bf72,5,1,436f0,0,1,a37e0,0,1,f4b1e,0,1
130,440,289,12,2b6e8,0,2,a37e0,0,2,28aa8,0,2,f37c8,0,1,a37b2,5,1
131,474,344,9,4cf22,0,2,4bf78,0,1,4bf72,5,1,436e4,0,1,436f0,0,1
132,426,285,9,2b6e8,0,2,a37e0,0,2,28aa8,0,2,a37b2,5,1,f37c8,0,1
133,513,358,11,4bf72,5,1,436e4,0,1,2b6e8,0,1,43758,0,1,f4abc,0,1
134,401,284,5,28aa8,0,2,2b6e8,0,1,a37b2,5,1,a37e0,0,1,4cf34,4,0
135,496,345,12,f4ba0,0,2,2b6e8,0,2,44046,0,1,a37e0,0,1,44050,0,1
136,417,305,5,a37e0,0,1,a37b2,5,1,f3a26,0,1,303c2,0,1,28aa8,0,1
137,469,313,9,28aa8,0,2,2b6e8,0,2,4bf78,0,1,303cc,0,1,4bf72,5,1
138,465,340,6,f3802,0,2,f22be,0,1,f3800,0,1,a37b2,5,1,a37e0,0,1
139,448,295,9,2b6e8,0,2,a37e0,0,2,28aa8,0,2,4bf72,5,1,4bf78,0,1
140,476,345,6,303c2,0,2,4bf72,5,1,4bf78,0,1,303cc,0,1,f4b1e,0,1
141,438,292,11,28aa8,0,2,2b6e8,0,2,a37e0,0,2,f37c8,0,1,f37a0,0,1
