schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,667,2209214490,667000,0xc8a9e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8a9e
1,system.guest_stack_profilers1,668,2212059825,668000,0xc8b0e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8b0e
1,system.guest_stack_profilers1,669,2214259185,669000,0xc8a30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8a30
1,system.guest_stack_profilers1,670,2215975695,670000,0xc8d96,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8d96
1,system.guest_stack_profilers1,671,2217311580,671000,0xc8e26,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e26
1,system.guest_stack_profilers1,672,2218579170,672000,0xc8e46,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e46
1,system.guest_stack_profilers1,673,2220757215,673000,0xc8e34,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e34
1,system.guest_stack_profilers1,674,2222673825,674000,0xc8e28,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e28
1,system.guest_stack_profilers1,675,2224570425,675000,0xc8e1a,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e1a
1,system.guest_stack_profilers1,676,2226480510,676000,0xc8e46,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e46
1,system.guest_stack_profilers1,677,2228244435,677000,0xc8e0c,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e0c
1,system.guest_stack_profilers1,678,2230152345,678000,0xc8da8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8da8
1,system.guest_stack_profilers1,679,2231415585,679000,0xc8aa8,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8aa8
1,system.guest_stack_profilers1,680,2233633650,680000,0xc8b30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8b30
1,system.guest_stack_profilers1,681,2235415845,681000,0xc8aba,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8aba
1,system.guest_stack_profilers1,682,2242764735,682000,0xc8aa8,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8aa8
1,system.guest_stack_profilers1,683,2245319490,683000,0xc8a36,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a36
1,system.guest_stack_profilers1,684,2246936820,684000,0xc91b8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91b8
1,system.guest_stack_profilers1,685,2249199690,685000,0xc8b1c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b1c
1,system.guest_stack_profilers1,686,2251819260,686000,0xc918e,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc918e
1,system.guest_stack_profilers1,687,2253609720,687000,0xc91be,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91be
1,system.guest_stack_profilers1,688,2255342325,688000,0xc8b2c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b2c
1,system.guest_stack_profilers1,689,2256489420,689000,0xc8a30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a30
1,system.guest_stack_profilers1,690,2258092830,690000,0xc9158,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9158
1,system.guest_stack_profilers1,691,2260847250,691000,0xc8aaa,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8aaa
1,system.guest_stack_profilers1,692,2262957435,692000,0xc8a48,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a48
1,system.guest_stack_profilers1,693,2264646540,693000,0xc9168,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9168
1,system.guest_stack_profilers1,694,2266727145,694000,0xc91a4,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91a4
1,system.guest_stack_profilers1,695,2267845530,695000,0xc8b16,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b16
1,system.guest_stack_profilers1,696,2269197945,696000,0xc918a,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc918a
1,system.guest_stack_profilers1,697,2270346345,697000,0xc91bc,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91bc
1,system.guest_stack_profilers1,698,2271608280,698000,0xc8b2a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b2a
1,system.guest_stack_profilers1,699,2272985490,699000,0xc8a2c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a2c
1,system.guest_stack_profilers1,700,2274527565,700000,0xc9156,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9156
1,system.guest_stack_profilers1,701,2276660805,701000,0xc8aa8,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8aa8
1,system.guest_stack_profilers1,702,2279230350,702000,0xc8a3a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a3a
1,system.guest_stack_profilers1,703,2281581090,703000,0xc9152,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9152
1,system.guest_stack_profilers1,704,2283936180,704000,0xc8b30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b30
1,system.guest_stack_profilers1,705,2286167730,705000,0xc9198,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9198
1,system.guest_stack_profilers1,706,2287963410,706000,0xc91bc,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91bc
1,system.guest_stack_profilers1,707,2290097520,707000,0xc8b1c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b1c
1,system.guest_stack_profilers1,708,2292185520,708000,0xc90bc,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc90bc
1,system.guest_stack_profilers1,709,2294258295,709000,0xc91a4,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91a4
1,system.guest_stack_profilers1,710,2295336225,710000,0xc8a4e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a4e
1,system.guest_stack_profilers1,711,2296993575,711000,0xc9164,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9164
1,system.guest_stack_profilers1,712,2299407390,712000,0xc8aaa,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8aaa
1,system.guest_stack_profilers1,713,2301228300,713000,0xc8a3a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a3a
1,system.guest_stack_profilers1,714,2302958730,714000,0xc9152,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9152
1,system.guest_stack_profilers1,715,2304727440,715000,0xc8b30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b30
1,system.guest_stack_profilers1,716,2307477510,716000,0xc9198,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9198
1,system.guest_stack_profilers1,717,2308798170,717000,0xc91bc,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91bc
1,system.guest_stack_profilers1,718,2310221055,718000,0xc8b1c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b1c
1,system.guest_stack_profilers1,719,2312569185,719000,0xc90bc,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc90bc
1,system.guest_stack_profilers1,720,2314938630,720000,0xc91a4,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91a4
1,system.guest_stack_profilers1,721,2316560310,721000,0xc8a4e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a4e
1,system.guest_stack_profilers1,722,2318331195,722000,0xc9164,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9164
1,system.guest_stack_profilers1,723,2320658445,723000,0xc8aaa,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8aaa
1,system.guest_stack_profilers1,724,2323157520,724000,0xc8a3a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8a3a
1,system.guest_stack_profilers1,725,2324690460,725000,0xc9152,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9152
1,system.guest_stack_profilers1,726,2326707120,726000,0xc8b30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b30
