schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers0,2215,1958944635,2215000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2216,1959182145,2216000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2217,1959445755,2217000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2218,1959792450,2218000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2219,1960058670,2219000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2220,1960665930,2220000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2221,1960739445,2221000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2222,1960868640,2222000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2223,1961208810,2223000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2224,1961496780,2224000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2225,1961688180,2225000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2226,1962376785,2226000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2227,1962449865,2227000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2228,1962987090,2228000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2229,1963244175,2229000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2230,1963502565,2230000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2231,1963695705,2231000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2232,1964362560,2232000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2233,1964435640,2233000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2234,1964576580,2234000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2235,1964805825,2235000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2236,1965038985,2236000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2237,1965236910,2237000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2238,1965902460,2238000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2239,1965975540,2239000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2240,1966117350,2240000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2241,1966277430,2241000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2242,1966555395,2242000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2243,1966787250,2243000,0x1151a,2,0x11516;0x1151a
