pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
f37b0,0,3,43,69.7674,2,0,1
e3b1e,0,3,8,375,0,0,3
2af4c,0,3,42,71.4286,2,0,1
e3b12,0,3,8,375,0,0,3
20e5c,0,3,7,428.571,2,0,1
2b302,0,3,5,600,2,0,1
33118,0,3,8,375,2,0,1
1832e,0,3,5,600,2,0,1
f3b94,0,3,49,61.2245,2,0,1
c90b6,0,3,3414,0.878735,2,0,1
dc158,0,3,4,750,0,0,3
1a9b8,0,3,7,428.571,2,0,1
f163e,0,3,86,34.8837,2,0,1
f53e2,0,3,5,600,2,0,1
f53de,0,3,7,428.571,2,0,1
3f6f4,0,3,174,17.2414,2,0,1
eba74,0,3,3,1000,0,0,3
1b0c8,0,3,239,12.5523,0,0,3
f5434,0,3,8,375,1,0,2
dc14c,0,3,8,375,0,0,3
e3dbc,0,2,12,166.667,0,0,2
1bf3a,0,2,5,400,0,0,2
2bd0c,4,2,35,57.1429,0,2,0
f4c3e,0,2,4,500,1,0,1
425ce,0,2,2,1000,1,0,1
f3bda,0,2,34,58.8235,0,0,2
c8e4a,0,2,5321,0.375869,1,0,1
dbf0e,0,2,4,500,0,0,2
dbf12,0,2,4,500,0,0,2
ec158,0,2,18,111.111,0,0,2
dbf48,0,2,6,333.333,0,0,2
ed096,0,2,16,125,1,0,1
e20a6,0,2,16,125,0,0,2
2869a,0,2,8,250,0,0,2
f4c4a,0,2,3,666.667,1,0,1
e1ff2,0,2,3,666.667,0,0,2
c916a,0,2,3413,0.585995,0,0,2
2b40c,0,2,3,666.667,1,0,1
26b1a,0,2,13,153.846,1,0,1
dbd0c,0,2,4,500,0,0,2
31ff0,0,2,4,500,0,0,2
2b3ce,0,2,2,1000,1,0,1
f4ba0,0,2,90,22.2222,0,0,2
c8d14,0,2,1060,1.88679,1,0,1
2b308,0,2,5,400,1,0,1
c8d00,0,2,1060,1.88679,1,0,1
425ac,0,2,2,1000,1,0,1
dbe2e,0,2,8,250,0,0,2
dcb36,0,2,28,71.4286,0,0,2
dbc6c,0,2,8,250,0,0,2
ebaf2,0,2,3,666.667,0,0,2
f544a,0,2,2,1000,1,0,1
32bea,0,2,7,285.714,1,0,1
dbd90,0,2,8,250,0,0,2
f5440,0,2,3,666.667,1,0,1
dba0e,0,2,6,333.333,0,0,2
f1754,0,2,86,23.2558,1,0,1
eba92,0,2,3,666.667,0,0,2
3bf56,0,2,4,500,0,0,2
f3d30,0,2,3,666.667,1,0,1
f53f0,0,2,7,285.714,1,0,1
3c5b8,0,2,3,666.667,1,0,1
ebae4,3,2,3,666.667,0,0,2
db800,0,2,8,250,0,0,2
29ffe,0,2,2,1000,1,0,1
db7de,0,2,4,500,0,0,2
dbd12,0,2,4,500,0,0,2
dc234,0,2,4,500,0,0,2
ebc64,5,2,3,666.667,0,0,2
db7bc,0,2,8,250,0,0,2
e3bd4,0,2,20,100,0,0,2
db6f4,0,2,8,250,0,0,2
ebc68,0,2,3,666.667,0,0,2
26b04,0,2,4,500,1,0,1
ebcd4,0,2,9,222.222,1,0,1
dbe32,0,2,4,500,0,0,2
3289c,3,1,4,250,0,0,1
32028,5,1,4,250,0,0,1
e218a,0,1,3,333.333,0,0,1
e3e10,0,1,4,250,0,0,1
e20ee,0,1,3,333.333,0,0,1
32190,0,1,4,250,0,0,1
e215e,0,1,4,250,0,0,1
321d0,5,1,4,250,0,0,1
e211e,0,1,3,333.333,0,0,1
e21f8,0,1,3,333.333,0,0,1
ebcd8,0,1,7,142.857,0,0,1
3028a,5,1,6,166.667,0,0,1
3026a,3,1,22,45.4545,0,0,1
e436c,0,1,4,250,0,0,1
e5450,0,1,12,83.3333,0,0,1
2ed70,0,1,5,200,0,0,1
2d2ac,0,1,3,333.333,0,0,1
ebab0,0,1,3,333.333,0,0,1
2c9c6,0,1,5,200,0,0,1
ebb76,0,1,18,55.5556,0,0,1
ebb8a,0,1,18,55.5556,0,0,1
2c032,0,1,6,166.667,0,0,1
3029e,0,1,6,166.667,0,0,1
ebcde,0,1,9,111.111,0,0,1
ec212,0,1,27,37.037,0,0,1
ecbfc,0,1,3,333.333,0,0,1
ecc14,0,1,3,333.333,0,0,1
ed07c,0,1,18,55.5556,0,0,1
2b746,0,1,10,100,0,0,1
ed0c2,0,1,3,333.333,0,0,1
2b70a,0,1,23,43.4783,0,0,1
ed0d6,0,1,2,500,0,0,1
f032e,0,1,85,11.7647,0,0,1
c8df6,0,1,1060,0.943396,0,0,1
30f7a,5,1,7,142.857,0,0,1
e2a54,0,1,3,333.333,0,0,1
31e4e,0,1,14,71.4286,0,0,1
e38c2,0,1,12,83.3333,0,0,1
31e0c,0,1,13,76.9231,0,0,1
31d10,0,1,1,1000,0,0,1
31cf8,0,1,1,1000,0,0,1
31c36,3,1,16,62.5,0,0,1
3116c,0,1,7,142.857,0,0,1
31150,0,1,7,142.857,0,0,1
e3bf4,0,1,4,250,0,0,1
e3c10,0,1,4,250,0,0,1
31ed4,0,1,14,71.4286,0,0,1
e3c48,0,1,16,62.5,0,0,1
e3c7a,0,1,12,83.3333,0,0,1
e3cd0,0,1,4,250,0,0,1
e3ce0,0,1,12,83.3333,0,0,1
3067e,5,1,2,500,0,0,1
30652,0,1,2,500,0,0,1
e3d6e,0,1,16,62.5,0,0,1
3060e,0,1,2,500,0,0,1
2b2f8,5,1,5,200,0,0,1
e4264,0,1,12,83.3333,0,0,1
303b8,0,1,59,16.9492,0,0,1
dbc9a,0,1,4,250,0,0,1
435da,0,1,6,166.667,0,0,1
43634,0,1,6,166.667,0,0,1
43646,0,1,6,166.667,0,0,1
dbe28,0,1,4,250,0,0,1
dbd50,0,1,8,125,0,0,1
4384c,0,1,8,125,0,0,1
4387c,0,1,6,166.667,0,0,1
43cb0,0,1,6,166.667,0,0,1
42f88,0,1,6,166.667,0,0,1
43d84,4,1,48,20.8333,0,1,0
dbc1e,0,1,8,125,0,0,1
dbab2,0,1,8,125,0,0,1
db84a,0,1,4,250,0,0,1
440ec,5,1,5,200,0,0,1
4424e,0,1,21,47.619,0,0,1
4bf84,0,1,27,37.037,0,0,1
426e8,5,1,1,1000,0,0,1
dc178,0,1,4,250,0,0,1
dc168,0,1,4,250,0,0,1
425a6,5,1,2,500,0,0,1
425c8,5,1,2,500,0,0,1
425e0,0,1,2,500,0,0,1
dc00e,0,1,2,500,0,0,1
dc006,0,1,2,500,0,0,1
426de,5,1,1,1000,0,0,1
d9190,0,1,3,333.333,0,0,1
4270c,0,1,1,1000,0,0,1
4271c,5,1,1,1000,0,0,1
42744,5,1,1,1000,0,0,1
42754,5,1,1,1000,0,0,1
427a0,0,1,1,1000,0,0,1
dbe6a,0,1,8,125,0,0,1
4280e,0,1,1,1000,0,0,1
c90be,0,1,3413,0.292997,0,0,1
c9ae4,0,1,1,1000,0,0,1
c9ad0,0,1,1,1000,0,0,1
a49ce,0,1,10,100,0,0,1
c996c,0,1,1,1000,0,0,1
a4a08,5,1,10,100,0,0,1
c9868,0,1,1,1000,0,0,1
c91c0,0,1,3413,0.292997,0,0,1
c8a50,3,1,9262,0.107968,0,0,1
a4194,0,1,6,166.667,0,0,1
c9090,0,1,1,1000,0,0,1
c8c94,0,1,1061,0.942507,0,0,1
c8ebe,0,1,1061,0.942507,0,0,1
c8ea2,0,1,1,1000,0,0,1
c8e82,0,1,1061,0.942507,0,0,1
c8d04,0,1,530,1.88679,0,0,1
c8dcc,0,1,1061,0.942507,0,0,1
4d100,0,1,69,14.4928,0,0,1
d913e,0,1,3,333.333,0,0,1
d9116,4,1,4,250,0,0,1
d90d6,0,1,4,250,0,0,1
4d07a,0,1,84,11.9048,0,0,1
d904e,0,1,3,333.333,0,0,1
4d08e,0,1,27,37.037,0,0,1
4d0b4,0,1,84,11.9048,0,0,1
4d0e8,3,1,69,14.4928,0,0,1
3f702,0,1,170,5.88235,0,0,1
d9010,0,1,3,333.333,0,0,1
a34b2,0,1,10,100,0,0,1
a37b2,5,1,10,100,0,0,1
a37e0,0,1,10,100,0,0,1
ca1e2,0,1,1,1000,0,0,1
ca182,0,1,1,1000,0,0,1
c9b9c,0,1,1,1000,0,0,1
33156,4,1,8,125,0,0,1
32cee,0,1,7,142.857,0,0,1
32d86,0,1,4,250,0,0,1
32e34,0,1,4,250,0,0,1
32e64,0,1,4,250,0,0,1
32ffa,5,1,7,142.857,0,0,1
33028,0,1,7,142.857,0,0,1
e1770,0,1,15,66.6667,0,0,1
e1742,0,1,27,37.037,0,0,1
32c5a,0,1,4,250,0,0,1
33380,5,1,7,142.857,0,0,1
33382,0,1,8,125,0,0,1
e16f0,4,1,16,62.5,0,0,1
e16aa,0,1,16,62.5,0,0,1
e167e,0,1,16,62.5,0,0,1
345d2,0,1,7,142.857,0,0,1
e165a,0,1,16,62.5,0,0,1
e1f42,0,1,8,125,0,0,1
e20cc,0,1,13,76.9231,0,0,1
32af0,0,1,7,142.857,0,0,1
32afa,0,1,7,142.857,0,0,1
32b1e,4,1,8,125,0,0,1
e2046,0,1,3,333.333,0,0,1
e203c,0,1,3,333.333,0,0,1
32b44,0,1,7,142.857,0,0,1
32b70,0,1,7,142.857,0,0,1
e15f8,0,1,12,83.3333,0,0,1
e1e36,0,1,12,83.3333,0,0,1
e1e1e,0,1,12,83.3333,0,0,1
e1e02,0,1,12,83.3333,0,0,1
e1dea,0,1,12,83.3333,0,0,1
32bf2,0,1,2,500,0,0,1
e1aea,0,1,15,66.6667,0,0,1
e19c0,3,1,12,83.3333,0,0,1
dc2e4,0,1,4,250,0,0,1
dcec6,0,1,4,250,0,0,1
dcea4,0,1,4,250,0,0,1
dcbbe,0,1,4,250,0,0,1
dcb6e,0,1,4,250,0,0,1
dca64,0,1,4,250,0,0,1
3c0cc,0,1,53,18.8679,0,0,1
dc586,0,1,4,250,0,0,1
3c5c4,0,1,1,1000,0,0,1
dcee0,0,1,4,250,0,0,1
dc2d8,0,1,4,250,0,0,1
dc27a,0,1,4,250,0,0,1
