Hist,count
3beff,1
3bed7,1
3bece,1
3be9d,1
3be81,1
3c0d1,1
3be01,1
3c0ef,1
3c0fc,1
3bdf5,1
3c1ee,1
463c,1
3c289,1
3bd7a,1
3bd78,1
6abe,1
380ff,1
380f8,1
3807f,1
6633,1
37ffe,1
68de,1
37ffc,1
6a84,1
381f3,1
6c4d,1
37fe1,1
6dff,1
37fd5,1
37fcc,1
6f7a,1
37fba,1
37f9f,1
38bff,1
3927b,1
38ff9,1
38fbf,1
38fb5,1
38f55,1
38eff,1
38e55,1
38dcf,1
37f8f,1
38b5f,1
38ab1,1
387e6,1
387df,1
387cf,1
38764,1
38673,1
38623,1
36eff,1
378ee,1
37851,1
6fff,1
377fc,1
3760b,1
37055,1
7156,1
72ab,1
37ad0,1
36e5f,1
36dff,1
36dfc,1
36db7,1
36cff,1
36cbd,1
36c86,1
30cab,1
37d01,1
37f6f,1
37f5a,1
37efa,1
37e77,1
37df7,1
37dbb,1
37d7f,1
37d2d,1
394bd,1
37cfb,1
37c5f,1
37c55,1
37c3d,1
37c15,1
37b9b,1
6feb,1
3b5e5,1
3b7cb,1
3b7c5,1
3b77f,1
3b72f,1
3b6ff,1
3b65e,1
558b,1
3b5fe,1
3b7d0,1
3b5df,1
55fb,1
3b52f,1
5889,1
3b3b3,1
3b13e,1
3b01f,1
3afff,1
3bb05,1
3bbff,1
3bbfe,1
3bbbb,1
3bbb8,1
3bbb7,1
3bb9b,1
3bb76,1
3bb72,1
5adf,1
3baf8,1
3baef,1
512b,1
3b97f,1
3b97a,1
3b815,1
5557,1
3b7e7,1
39e19,1
39f95,1
39f3f,1
39efb,1
39edb,1
39e93,1
39e7e,1
39e3d,1
39e33,1
39fff,1
39e0c,1
39e02,1
39a23,1
39933,1
397ff,1
397d4,1
3959b,1
6555,1
6104,1
5fd0,1
3af8d,1
3af47,1
3ad3e,1
5fff,1
3acf9,1
3aaaa,1
3aa6f,1
3bc02,1
3a4c2,1
3a38a,1
3a351,1
3a1dd,1
3a195,1
3a189,1
3a106,1
3fb03,1
3fbde,1
2d6f,1
3fbbb,1
3fba3,1
3fb5f,1
3fb5e,1
3fb5a,1
3fb55,1
3fb1f,1
2101,1
3fac7,1
3fa5b,1
3fa04,1
3f9fd,1
3f9fb,1
3f9f9,1
3f9f5,1
3f9f3,1
3f9f2,1
3fcf6,1
3fdc5,1
3fdc0,1
3fdbf,1
3fdbe,1
3fdb2,1
3fdb1,1
1fbf,1
3fd57,1
3fcfd,1
3f9ef,1
3fc44,1
3fc1b,1
3fc0f,1
1fde,1
2037,1
3fbf8,1
3fbef,1
3fbe1,1
3f5fa,1
3f7bc,1
37ef,1
3f7ae,1
3f783,1
3f77f,1
3f75f,1
382f,1
3f703,1
3f6aa,1
3f7c0,1
3f5a7,1
38e3,1
3f58a,1
3f4b6,1
3955,1
395f,1
3b01,1
3f3f2,1
346f,1
3f993,1
3f980,1
3f8f9,1
3f8ab,1
30e3,1
3f837,1
3f80f,1
3f7fd,1
3333,1
3fddd,1
3f7f6,1
3f7f3,1
