schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,1286,3010367475,1286000,0xc8a2c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a2c
1,system.guest_stack_profilers1,1287,3011112630,1287000,0xc8b28,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b28
1,system.guest_stack_profilers1,1288,3011805585,1288000,0xc8f14,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f14
1,system.guest_stack_profilers1,1289,3012615555,1289000,0xc9c2c,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c2c
1,system.guest_stack_profilers1,1290,3013547760,1290000,0xc8f2a,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f2a
1,system.guest_stack_profilers1,1291,3014814480,1291000,0xc8b0a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b0a
1,system.guest_stack_profilers1,1292,3015507870,1292000,0xc8aa8,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8aa8
1,system.guest_stack_profilers1,1293,3016166460,1293000,0xc8a3c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a3c
1,system.guest_stack_profilers1,1294,3017243955,1294000,0xc8ee0,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8ee0
1,system.guest_stack_profilers1,1295,3017763780,1295000,0xc9c02,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c02
