Hist,count
3f2ff,5
3fe5f,5
3ff03,5
3f157,5
3f7fe,5
155ff,5
29e76,5
1a186,5
1dfea,5
1dffb,5
2dea7,5
7c67,5
3766e,5
373ff,5
28f07,5
2aaff,5
1f7ff,5
1b6df,5
14d6b,5
14ea5,5
1ecbc,5
30bff,5
36ff3,5
338f,5
3ef8f,5
36fdf,5
3f555,5
2c4d6,5
7837,5
3f3ff,5
2c7f0,5
2c7f5,5
1551e,5
35ede,5
15d70,5
6e30,5
3beff,5
3aff9,5
38fbf,5
bd01,5
3afff,5
3bf76,5
3d4d5,5
3b4be,5
a492,5
3afd0,5
2d7,5
1ffaf,5
12186,5
3b7ef,5
12496,5
3dbff,5
3b7fb,5
f03f,5
3e1ab,5
3dbfc,5
3bf7d,5
21fff,5
3d68f,5
3bfbf,5
3bfdf,5
931e,5
9492,5
1fe5f,5
5c7,5
dffd,5
10cae,5
b111,5
10e2f,5
3dbd3,5
92ab,5
3dfbd,5
f52b,5
3d333,5
382c1,5
e555,4
15663,4
1ff0f,4
3e2a9,4
1ea76,4
155f0,4
16dfe,4
3f7d5,4
1eb41,4
1f3e5,4
3fe6a,4
1c395,4
6253,4
155d5,4
3f6f0,4
350af,4
2f51d,4
1f497,4
22aeb,4
2f53e,4
3b937,4
3fefd,4
3e06b,4
1c1f,4
16bdb,4
2380b,4
27eff,4
28efd,4
297e,4
a5ff,4
5fd,4
1eab1,4
f037,4
35edf,4
3a0ef,4
2e3b3,4
c155,4
2aade,4
3decd,4
55eb,4
3bffe,4
3e51f,4
3a621,4
3e4fc,4
3bff7,4
155d3,4
2b2cb,4
18b11,4
1555e,4
f066,4
15564,4
35a55,4
35a3e,4
e1c3,4
f067,4
1fedd,4
3577f,4
29b7b,4
3d4f0,4
29a95,4
174d1,4
28be3,4
68d1,4
3f5d0,4
20c86,4
3b7f9,4
28618,4
31e33,4
1ffbf,4
3dfb7,4
31dff,4
17aa9,4
3f54b,4
30aab,4
edf0,4
322b7,4
15df5,4
3b7a7,4
c5d7,4
aaaf,4
31caf,4
31b8f,4
22b7d,4
3ffd5,4
3180b,4
2fdd8,4
1ee6d,4
2fddd,4
1edfe,4
1dfb,4
177ff,4
16596,4
2b47d,4
1ede7,4
3f352,4
30dc7,4
1754b,4
17ebf,4
2f6f3,4
2aacb,4
341c1,4
3410e,4
17e2d,4
ec4d,4
2f835,4
236e3,4
bcf0,4
3b352,4
28103,4
2f8f5,4
3f249,4
3ffcd,4
17597,4
15c02,4
3f365,4
3f7c7,4
15c2f,4
17c15,4
3f7be,4
f972,4
1ffeb,4
2fe85,4
aaad,4
15d71,4
a4a5,4
3beeb,4
2e30,4
37f5a,4
124b3,4
3caab,4
3fdf0,4
1fa03,4
3fdfd,4
1470e,4
3c7af,4
38f52,4
1c6e3,4
3de0f,4
3dbfd,4
1ddaa,4
2a752,4
bf5f,4
1d93e,4
21f17,4
39249,4
37fbf,4
3c55d,4
26aff,4
3d4af,4
124bf,4
37477,4
14a4a,4
2a7f0,4
beab,4
37fe7,4
38c0e,4
b5bf,4
2a52f,4
d55b,4
2cd55,4
2a492,4
3ed55,4
3eea5,4
2574c,4
11f2e,4
3fe07,4
3cebb,4
25965,4
1386f,4
2494a,4
2524a,4
2493f,4
38ecb,4
3ecfc,4
37eec,4
3d7f9,4
2d249,4
3ec7f,4
3e9d3,4
25aff,4
13555,4
924a,4
37eff,4
3cb9f,4
14dbd,4
39a92,4
7862,4
36ffb,4
1dfff,4
20abe,4
30ff,4
36ff7,4
39bfe,4
3efda,4
3c357,4
d492,4
2456f,4
94a5,4
3efd5,4
3ebd7,4
d043,4
1b6ff,4
2492e,4
2bb5a,4
3872b,4
ea5,4
202af,4
371db,4
3f97f,4
b2cb,4
10ef7,4
2100f,4
2bd0e,4
39ea7,4
1e027,4
2e17f,4
1e017,4
152fb,4
386f7,4
1b249,4
94ff,4
26bfe,4
1fff5,3
3dfbe,3
2baa5,3
3f777,3
3f740,3
3fb77,3
2924c,3
3f,3
17aad,3
2fc5b,3
2fc55,3
2bc02,3
1def0,3
2be0a,3
3dc44,3
2bf13,3
3f760,3
ef41,3
7,3
1dbe3,3
2feea,3
2aa8b,3
2bfe1,3
2b438,3
2fefd,3
22b7f,3
3dbdf,3
173e7,3
2a7f5,3
2fdab,3
1adbf,3
3bbbf,3
d3a7,3
207fd,3
1bf7f,3
2c1be,3
3febd,3
